Timestamp,HandLimb,Joint,Row,Column
123,Thumb,surface,6,3,
123,Palm,surface,14,3,
123,Palm,surface,14,4,
123,Thumb,surface,9,4,
123,Palm,surface,12,3,
123,Thumb,surface,7,2,
123,Thumb,surface,9,2,
123,Thumb,surface,8,4,
123,Thumb,surface,8,3,
123,Palm,surface,13,4,
123,Thumb,surface,7,5,
123,Thumb,surface,9,3,
123,Thumb,surface,8,2,
123,Palm,surface,15,4,
123,Palm,surface,13,5,
123,Thumb,surface,7,3,
123,Palm,surface,13,2,
123,Palm,surface,14,2,
123,Palm,surface,14,5,
123,Thumb,surface,9,5,
123,Palm,surface,12,4,
123,Palm,surface,15,3,
123,Thumb,surface,7,4,
123,Palm,surface,13,3,
123,Thumb,surface,8,5,
124,Palm,surface,14,6,
124,Thumb,surface,10,3,
124,Palm,surface,14,3,
124,Palm,surface,14,4,
124,Thumb,surface,9,4,
124,Palm,surface,16,6,
124,Thumb,surface,9,2,
124,Thumb,surface,8,4,
124,Palm,surface,16,4,
124,Thumb,surface,10,5,
124,Thumb,surface,8,3,
124,Palm,surface,13,4,
124,Thumb,surface,9,3,
124,Palm,surface,15,6,
124,Palm,surface,15,4,
124,Palm,surface,15,5,
124,Palm,surface,13,5,
124,Palm,surface,16,5,
124,Palm,surface,17,4,
124,Palm,surface,16,3,
124,Palm,surface,14,5,
124,Thumb,surface,9,5,
124,Thumb,surface,10,4,
124,Palm,surface,15,3,
125,Palm,surface,16,8,
125,Palm,surface,17,7,
125,Palm,surface,19,7,
125,Palm,surface,17,6,
125,Palm,surface,16,6,
125,Palm,surface,18,5,
125,Palm,surface,19,6,
125,Palm,surface,18,6,
125,Palm,surface,18,7,
125,Palm,surface,17,5,
125,Palm,surface,15,6,
125,Palm,surface,19,5,
125,Palm,surface,18,8,
125,Palm,surface,16,5,
125,Palm,surface,17,4,
125,Palm,surface,16,7,
125,Palm,surface,15,7,
125,Palm,surface,17,8,
126,Palm,surface,17,7,
126,Palm,surface,19,7,
126,Palm,surface,17,6,
126,Palm,surface,20,7,
126,Palm,surface,20,8,
126,Palm,surface,19,6,
126,Palm,surface,18,6,
126,Palm,surface,18,7,
126,Palm,surface,18,8,
126,Palm,surface,19,8,
126,Palm,surface,18,9,
126,Palm,surface,19,9,
